seq_name,primary_matches,potential_primaries,control_matches,potential_controls,rate_ratio,fisher_p
C.ZA.-.PP118A_A0091_A8.JF294698,4.0,28.0,8.0,41.0,0.73,0.810794
C.BW.-.PP106A_B0356_Envcon_b16_3.JF294686,3.0,28.0,8.0,38.0,0.51,0.929188
A1.KE.-.PP73B_B0452_econ_B14.JF294517,4.0,36.0,8.0,44.0,0.61,0.885103
C.BW.-.PP106A_B0356_Envcon_b16_21.JF294436,4.0,29.0,7.0,37.0,0.73,0.811432
C.BW.-.PP106A_B0356_Envcon_b16_5.JF294404,3.0,28.0,8.0,39.0,0.52,0.922509
A1.KE.-.PP76A_A0303_econB10.JF294216,1.0,32.0,9.0,47.0,0.16,0.996406
C.BW.-.PP106A_B0356_Envcon_b16_11.JF293923,3.0,28.0,8.0,39.0,0.52,0.922509
B.SE.1995.SE_P7.8885.EU010301,1.0,26.0,3.0,27.0,0.35,0.940067
01_AE.SE.2004.SE_P92.30505.EU010269,3.0,27.0,8.0,26.0,0.36,0.983629
B.GL.1999.GRL30.AM285237,8.0,160.0,7.0,114.0,0.81,0.752983
B.GL.2002.GRL75.AM285175,2.0,45.0,3.0,41.0,0.61,0.847628
B.GL.1999.GRL8.AM285129,2.0,43.0,2.0,42.0,0.98,0.700921
B.GL.1999.GRL34.AM285056,3.0,25.0,2.0,26.0,1.56,0.480843
B.DK.2000.203.AJ419437,7.0,153.0,6.0,111.0,0.85,0.726612
01_AE.VN.2002.02VN117.AY283422,2.0,25.0,7.0,27.0,0.31,0.98364
B.SE.2000.00SE_20168.AY165247,7.0,206.0,10.0,166.0,0.56,0.926918
C.SE.2000.00SE_18813.AY165226,18.0,203.0,20.0,164.0,0.73,0.887141
C.SE.1999.99SE_17203.AY165215,18.0,200.0,20.0,158.0,0.71,0.900877
C.SE.1999.99SE_17202.AY165214,17.0,183.0,16.0,133.0,0.77,0.83475
A1D.SE.-.SE9340.U76177,2.0,23.0,7.0,30.0,0.37,0.966395
B.IT.-.B193-J4200.L08282,3.0,22.0,3.0,20.0,0.91,0.714239
B.LV.2001.01LV_MSM045_1997_V3.EU702743,0.0,27.0,2.0,25.0,0.00,1
B.LV.2002.02LV_MSM042_1996_V3.EU702740,2.0,27.0,3.0,25.0,0.62,0.848139
B.LV.2001.01LV_MSM041_1996_V3.EU702739,0.0,27.0,2.0,26.0,0.00,1
A6.LV.2003.03LV_HET055_2003_V3.EU702669,4.0,23.0,7.0,28.0,0.70,0.840944
A6.LV.2002.02LV_HET017_2002_V3.EU702633,3.0,25.0,5.0,28.0,0.67,0.835578
B.LV.2005.05LV_S2105_2005_v3_B.FJ429448,1.0,25.0,4.0,27.0,0.27,0.968938
A6.LV.2005.05LV_S2098_2005_v3_A1.FJ429443,3.0,25.0,5.0,29.0,0.70,0.821409
B.SE.2000.P1a_20000824.GU204921,10.0,281.0,28.0,290.0,0.37,0.999192
C.ZA.-.PP118A_A0091_E11.JF293986,6.0,39.0,10.0,46.0,0.71,0.847358
A1D.KE.-.PP81A_A0726_ecxB11s9.JF293897,2.0,36.0,9.0,44.0,0.27,0.990743
A1D.UG.-.PP67A_A0986_ecx24B10_doublepeaks.JF293656,5.0,33.0,8.0,45.0,0.85,0.727663
B.SE.1996.SE_P9.9434.EU010295,2.0,24.0,3.0,23.0,0.64,0.839518
01_AE.VN.2007.07_HP33.FJ009354,1.0,18.0,8.0,23.0,0.16,0.997667
01_AE.VN.2006.06_HP6.FJ009344,2.0,21.0,6.0,21.0,0.33,0.977587
B.GL.2003.GRL103.AM285185,2.0,45.0,2.0,48.0,1.07,0.666785
B.DK.2000.PT203_0.AM285113,3.0,31.0,1.0,25.0,2.42,0.391625
B.GL.2004.GRL102.AM285092,2.0,28.0,4.0,26.0,0.46,0.919772
A6.LV.2001.01LV_N0263.AY291008,3.0,26.0,5.0,30.0,0.69,0.822765
A6.LV.2001.01LV_N0089.AY290991,3.0,27.0,5.0,30.0,0.67,0.837066
A6.LV.2001.01LV_N0705.AY290966,3.0,27.0,6.0,30.0,0.56,0.901417
01_AE.SE.2001.01SE_21951.AY165265,17.0,199.0,16.0,147.0,0.78,0.82097
B.SE.1998.98SE_15043.AY165195,6.0,208.0,7.0,161.0,0.66,0.850849
A.SE.-.SE7727.U76125,3.0,15.0,5.0,21.0,0.84,0.747346
J.SE.1994.7022E.L41177,4.0,18.0,3.0,17.0,1.26,0.534382
B.SE.1987.27-control.L39025,1.0,31.0,1.0,41.0,1.32,0.679186
B.IT.-.A_201.L08310,0.0,7.0,1.0,11.0,0.00,1
B.IT.1989.A_115_J2758.L08297,0.0,10.0,1.0,7.0,0.00,1
B.IT.-.A_201_4440.L08295,0.0,8.0,1.0,10.0,0.00,1
B.LV.1999.99LV_MSM013_1999_B.EU702584,1.0,49.0,2.0,47.0,0.48,0.886513
A6.LV.2002.02LV_IDU008_1998_A1.EU702560,5.0,49.0,10.0,47.0,0.48,0.963033
A6.LV.2003.03LV_HET033_2002_A1.EU702519,6.0,48.0,9.0,48.0,0.67,0.869716
A6.LV.2002.02LV_HET012_2002_A1.EU702500,5.0,49.0,8.0,49.0,0.62,0.883558
A6.LV.2002.02LV_HET010_2002_A1.EU702498,6.0,47.0,10.0,49.0,0.63,0.900016
B.LV.2005.05LV_MSM_S2031_2005_p17_B.FJ429489,1.0,44.0,6.0,46.0,0.17,0.992836
D.SE.2002.P4b_20020315.GU204940,26.0,272.0,36.0,281.0,0.75,0.91123
B.SE.1992.P2b_19920522.GU204929,17.0,291.0,15.0,280.0,1.09,0.472662
B.SE.1995.P2a_19950126.GU204925,13.0,295.0,22.0,275.0,0.55,0.9754
B.SE.1995.P1b_19950223.GU204924,9.0,293.0,10.0,267.0,0.82,0.749732
D.UG.-.PP104B_A0910_gconB16s2.HQ423688,10.0,101.0,16.0,96.0,0.59,0.947056
C.ZA.-.PP3A_A0811_esm53B4.JF294970,3.0,33.0,12.0,45.0,0.34,0.989835
C.BW.-.PP106A_B0356_Envcon_b16_16.JF294920,3.0,28.0,8.0,39.0,0.52,0.922509
C.ZM.-.PP9A_A0168_econB4.JF294894,6.0,32.0,14.0,46.0,0.62,0.924796
C.ZA.-.PP3A_A0811_esm19B4.JF294867,3.0,33.0,13.0,47.0,0.33,0.992333
C.BW.-.PP106A_B0356_Envcon_b16_25.JF294789,4.0,29.0,7.0,38.0,0.75,0.79784
C.BW.-.PP106A_B0356_Envcon_b16_22.JF294121,3.0,29.0,8.0,39.0,0.50,0.930759
D.UG.-.SC6A_A0273_econB17.JF294008,4.0,30.0,10.0,48.0,0.64,0.874662
A1.UG.-.PP103A_B0248_Econ_b16_4.JF293650,2.0,35.0,10.0,45.0,0.26,0.993626
A1C.UG.-.PP27A_A0925_econBr1s1_notsogood.JF293566,3.0,32.0,12.0,49.0,0.38,0.98116
A1D.KE.-.PP81A_A0726_ecxB11s1.JF293480,3.0,37.0,11.0,46.0,0.34,0.988687
A1.AO.2009.09AOHDP168.OM960879,2.0,25.0,10.0,34.0,0.27,0.993121
C.AO.2009.09AOHDP143.OM960863,3.0,30.0,7.0,29.0,0.41,0.965182
B.SE.1996.SE_P17.10705.EU010274,1.0,25.0,3.0,25.0,0.33,0.945072
B.GL.2003.GRL107.AM285189,1.0,47.0,3.0,49.0,0.35,0.93622
B.GL.2000.GRL56.AM285161,3.0,42.0,2.0,45.0,1.61,0.466922
B.GL.2002.GRL40.AM285150,2.0,42.0,3.0,43.0,0.68,0.812636
B.GL.1999.GRL17.AM285136,2.0,41.0,3.0,42.0,0.68,0.812643
B.SE.1999.99SE_18371.AY165274,5.0,149.0,7.0,109.0,0.52,0.926277
B.SE.2001.01SE_22264.AY165273,5.0,180.0,10.0,134.0,0.37,0.985719
B.SE.2001.01SE_22235.AY165271,5.0,168.0,8.0,128.0,0.48,0.949891
B.SE.2000.00SE_18823.AY165227,8.0,206.0,11.0,162.0,0.57,0.931198
B.SE.1999.99SE_17076.AY165210,9.0,210.0,10.0,165.0,0.71,0.844918
G.SE.-.SE7195.U76185,6.0,44.0,6.0,43.0,0.98,0.63786
B.LV.1999.99LV_MSM014_1998_B.EU702585,2.0,48.0,6.0,49.0,0.34,0.968349
B.SE.2000.P2b_20000615.GU204932,19.0,284.0,16.0,279.0,1.17,0.384443
C.ZA.-.PP53A_B0222gconB8.HQ423805,7.0,102.0,11.0,95.0,0.59,0.918918
D.BW.-.PP36B_B0104gconB6_bad.HQ423764,8.0,102.0,6.0,101.0,1.32,0.398931
C.BW.-.PP36A_A0516_Econ_b6_24.JF294931,2.0,31.0,7.0,36.0,0.33,0.975859
A1.UG.-.PP103A_B0248_Econ_b16_34.JF294536,2.0,33.0,9.0,41.0,0.28,0.990393
A1.UG.-.PP34A_A0512_econb6.JF294407,3.0,26.0,7.0,41.0,0.68,0.833532
A1.KE.-.PP43B_A0708_econ_B8.JF294188,5.0,25.0,4.0,45.0,2.25,0.168463
01_AE.SE.2001.SE_P39.21529.EU010273,3.0,27.0,9.0,27.0,0.33,0.99029
A.SE.2002.SE_P70.24411.EU010268,1.0,24.0,8.0,29.0,0.15,0.99774
B.GL.2000.GRL59.AM285256,8.0,154.0,10.0,122.0,0.63,0.893723
B.GL.2004.GRL105.AM285187,3.0,45.0,2.0,52.0,1.73,0.431143
B.GL.2004.GRL102.AM285184,1.0,45.0,3.0,43.0,0.32,0.947077
B.DK.2000.PT300.AM285117,2.0,29.0,2.0,23.0,0.79,0.777582
B.DK.2000.PT297.AM285116,1.0,26.0,1.0,26.0,1.00,0.754902
C.DK.1998.PT140_0.AM285107,5.0,26.0,8.0,28.0,0.67,0.868987
B.GL.2001.GRL72.AM285081,2.0,28.0,4.0,26.0,0.46,0.919772
A6.LV.2001.01LV_N0269.AY291031,3.0,26.0,5.0,28.0,0.65,0.849746
01_AE.SE.2001.01SE_22387.AY165276,17.0,207.0,22.0,164.0,0.61,0.963124
B.SE.2001.01SE_21089.AY165254,7.0,205.0,9.0,167.0,0.63,0.882844
B.SE.2000.00SE_19833.AY165237,9.0,203.0,6.0,156.0,1.15,0.50055
B.SE.2000.00SE_19468.AY165232,11.0,204.0,7.0,165.0,1.27,0.398123
C.SE.1999.99SE_17921.AY165220,17.0,206.0,16.0,161.0,0.83,0.772178
A.SE.-.SE8876.U76168,2.0,24.0,8.0,28.0,0.29,0.988692
A6.LV.2003.03LV_VER002_2003_V3.EU702748,3.0,25.0,6.0,27.0,0.54,0.911228
B.LV.2000.00LV_MSM034_1993_V3.EU702733,0.0,27.0,4.0,27.0,0.00,1
B.LV.2003.03LV_MSM026_2003_V3.EU702725,0.0,27.0,4.0,26.0,0.00,1
B.LV.2002.02LV_MSM021_2002_V3.EU702720,1.0,25.0,3.0,26.0,0.35,0.940176
B.LV.1998.98LV_MSM008_1998_V3.EU702708,0.0,26.0,1.0,26.0,0.00,1
B.LV.1998.98LV_MSM002_1998_V3.EU702704,0.0,25.0,3.0,26.0,0.00,1
A6.LV.1998.98LV_IDU018_1998_V3.EU702701,3.0,25.0,5.0,29.0,0.70,0.821409
A6.LV.2001.01LV_IDU007_1998_V3.EU702690,3.0,25.0,6.0,27.0,0.54,0.911228
A6.LV.2002.02LV_IDU002_1997_V3.EU702686,4.0,26.0,5.0,27.0,0.83,0.747125
A6.LV.2004.04LV_HET054_2003_V3.EU702668,3.0,24.0,7.0,29.0,0.52,0.925893
A6.LV.2003.03LV_HET036_2002_V3.EU702652,3.0,24.0,6.0,28.0,0.58,0.889022
A6.LV.2002.02LV_HET034_2002_V3.EU702650,2.0,24.0,5.0,27.0,0.45,0.930967
B.LV.2002.02LV_MSM039_1995_B.EU702607,3.0,48.0,1.0,48.0,3.00,0.308489
B.LV.2001.01LV_MSM031_1990_B.EU702599,2.0,46.0,5.0,50.0,0.43,0.930293
A6.LV.2003.03LV_MSM025_2003_A1.EU702594,5.0,47.0,11.0,49.0,0.47,0.967502
B.LV.1998.98LV_MSM002_1998_B.EU702573,4.0,50.0,2.0,47.0,1.88,0.368789
A6.LV.2002.02LV_IDU002_1997_A1.EU702555,6.0,48.0,9.0,48.0,0.67,0.869716
A6.LV.2005.05LV_IDU_S2134_2005_v3_A1.FJ429467,4.0,26.0,6.0,27.0,0.69,0.837906
A6.LV.2005.05LV_S2132_2005_v3_A1.FJ429465,4.0,24.0,6.0,28.0,0.78,0.782982
A6.LV.2005.05LV_S2045_2005_v3_A1.FJ429418,4.0,23.0,7.0,28.0,0.70,0.840944
01_AE.SE.2007.P157_36501.GU222984,4.0,28.0,8.0,26.0,0.46,0.963645
01_AE.SE.2007.P148_36487.GU222975,5.0,28.0,7.0,26.0,0.66,0.870389
01_AE.SE.2007.P147_36486.GU222974,5.0,28.0,7.0,26.0,0.66,0.870389
B.SE.2005.P94_35729.GU222921,2.0,26.0,2.0,27.0,1.04,0.680355
D.KE.-.PP82A_A0191_gconB11s1.HQ423993,6.0,106.0,6.0,100.0,0.94,0.65596
A1.KE.-.PP127A_B0275gconB23.HQ423761,7.0,102.0,8.0,97.0,0.83,0.738103
C.ZM.-.PP18B_8A04_econB3.JF294803,3.0,34.0,11.0,45.0,0.36,0.984903
C.ZM.-.B0822_B0822_Econ_Bkg20.JF294502,1.0,32.0,9.0,44.0,0.15,0.997401
C.ZA.-.PP55A_B0890_econB7.JF294271,6.0,38.0,4.0,38.0,1.50,0.368026
C.BW.-.PP70A_A0407_ESM2B13.JF294040,6.0,40.0,9.0,44.0,0.73,0.82531
C.BW.-.PP106A_B0356_Envcon_b16_4.JF293996,3.0,28.0,8.0,39.0,0.52,0.922509
A1.KE.-.PP127B_A0210_econB23.JF293812,4.0,34.0,9.0,44.0,0.58,0.909661
C.BW.-.BKG06_econs1.JF293784,5.0,36.0,10.0,46.0,0.64,0.885935
A1.UG.-.PP103A_B0248_Econ_b16_29.JF293760,2.0,35.0,10.0,45.0,0.26,0.993626
C.ZA.-.PP118A_A0091_econB22.JF293663,4.0,35.0,10.0,45.0,0.51,0.942798
C.ZA.-.PP2A_A0873_econ4.JF293519,4.0,36.0,8.0,44.0,0.61,0.885103
D.UG.2004.BM-005-0.KC329757,5.0,28.0,9.0,28.0,0.56,0.939423
01_AE.VN.-.HN14.FJ009359,2.0,22.0,6.0,19.0,0.29,0.987607
01_AE.VN.2007.07_HP35.FJ009356,3.0,20.0,7.0,21.0,0.45,0.959955
01_AE.VN.2006.06_HN89.FJ009351,1.0,19.0,7.0,22.0,0.17,0.996653
01_AE.VN.2006.06_HP7.FJ009339,2.0,22.0,6.0,19.0,0.29,0.987607
01_AE.VN.2006.06_HN91.FJ009337,3.0,20.0,7.0,21.0,0.45,0.959955
B.GL.2004.GRL106.AM285279,10.0,155.0,9.0,121.0,0.87,0.714001
B.GL.2002.GRL40.AM285242,9.0,157.0,5.0,116.0,1.33,0.406908
B.GL.1999.GRL25.AM285233,8.0,162.0,7.0,113.0,0.80,0.766232
B.GL.1999.GRL7.AM285221,10.0,159.0,6.0,116.0,1.22,0.45339
B.DK.2000.PT297_0.AM285213,2.0,44.0,2.0,42.0,0.95,0.709426
B.GL.2002.GRL50.AM285157,2.0,43.0,3.0,42.0,0.65,0.827335
B.GL.1999.GRL30.AM285146,3.0,44.0,3.0,43.0,0.98,0.672866
B.GL.1999.GRL12.AM285132,1.0,42.0,3.0,43.0,0.34,0.93905
13_cpx.GL.2004.GRL100.AM285090,4.0,31.0,4.0,30.0,0.97,0.6653
B.DK.2000.191.AJ419431,7.0,149.0,8.0,118.0,0.69,0.84158
A6.LV.2001.01LV_N0742.AY291043,2.0,27.0,5.0,28.0,0.41,0.944039
A6.LV.2001.01LV_N0812.AY291029,3.0,27.0,5.0,30.0,0.67,0.837066
A6.LV.2001.01LV_N0766.AY291003,3.0,27.0,5.0,28.0,0.62,0.862584
A6.LV.2001.01LV_N0725.AY290964,3.0,27.0,5.0,31.0,0.69,0.824018
C.SE.2001.01SE_22265.AY165272,19.0,209.0,21.0,164.0,0.71,0.906064
B.SE.2001.01SE_22070.AY165268,9.0,210.0,12.0,165.0,0.59,0.929431
C.SE.2001.01SE_21064.AY165253,19.0,195.0,18.0,152.0,0.82,0.789649
C.SE.1999.99SE_16833.AY165208,18.0,207.0,23.0,162.0,0.61,0.9664
B.SE.1987.4935-control.L39048,3.0,76.0,4.0,49.0,0.48,0.917441
B.SE.1987.2213-control.L39030,4.0,74.0,2.0,51.0,1.38,0.527402
C.ZA.-.PP52A_B0717gconB7.HQ423749,16.0,110.0,10.0,99.0,1.44,0.223611
C.BW.-.PP36A_A0516_Econ_b6_1.JF294927,4.0,35.0,8.0,41.0,0.59,0.900763
C.BW.-.PP69A_A0286_econB13s1.JF294550,5.0,36.0,9.0,35.0,0.54,0.940288
A1.UG.-.PP103A_B0248_Econ_b16_30.JF294077,2.0,34.0,9.0,39.0,0.25,0.993455
C.BW.-.PP106A_B0356_Envcon_b16_1.JF293917,3.0,28.0,8.0,39.0,0.52,0.922509
A1.UG.2004.BM-015-0.KC329760,3.0,27.0,4.0,31.0,0.86,0.726787
B.GL.2000.GRL56.AM285253,5.0,159.0,9.0,117.0,0.41,0.975729
13_cpx.GL.2004.GRL100.AM285182,10.0,44.0,5.0,42.0,1.91,0.149698
A.LV.2001.01LV_N0818.AY291033,3.0,26.0,5.0,25.0,0.58,0.888283
A1.SE.2000.00SE_20197.AY165249,20.0,205.0,24.0,162.0,0.66,0.949413
B.SE.2000.00SE_20106.AY165245,6.0,204.0,10.0,166.0,0.49,0.956063
B.SE.2000.00SE_20038.AY165244,9.0,204.0,6.0,165.0,1.21,0.459949
C.SE.2000.00SE_18651.AY165225,20.0,198.0,15.0,148.0,1.00,0.578079
C.SE.1998.98SE_15076.AY165196,19.0,211.0,21.0,157.0,0.67,0.932775
B.SE.1998.98SE_14750.AY165192,10.0,209.0,12.0,165.0,0.66,0.891534
GKU.SE.-.SE8646.U76162,3.0,18.0,5.0,24.0,0.80,0.766513
A.SE.1994.SE7812.U76142,3.0,16.0,1.0,20.0,3.75,0.221034
D.SE.-.SE6687.U76135,0.0,15.0,5.0,19.0,0.00,1
A.SE.-.SE7823.U76132,1.0,12.0,8.0,22.0,0.23,0.990517
C.SE.-.SE7854.U76122,3.0,19.0,1.0,16.0,2.53,0.37013
D.SE.-.SE8420.U76115,4.0,17.0,3.0,17.0,1.33,0.5
B.RU.-.RU10.U69665,0.0,20.0,2.0,15.0,0.00,1
F1.RU.-.RU29.U69663,3.0,19.0,3.0,16.0,0.84,0.752199
A6.RU.-.RU24.U69658,2.0,18.0,3.0,17.0,0.63,0.848974
A6.RU.-.RU21.U69656,2.0,14.0,4.0,22.0,0.79,0.772415
B.RU.-.RU17.U69654,1.0,18.0,2.0,15.0,0.42,0.916606
G.RU.-.RU16.U69653,4.0,18.0,3.0,16.0,1.19,0.570786
B.RU.-.RU9.U69649,0.0,19.0,3.0,16.0,0.00,1
D.SE.1993.6936E.L40747,3.0,15.0,4.0,18.0,0.90,0.716781
G.SE.1993.6167P.L40762,6.0,84.0,7.0,50.0,0.51,0.943024
B.SE.1987.5031GA.L39051,2.0,33.0,0.0,35.0,inf,0.231782
C.LV.1999.99LV_HET060_1998_C.EU702545,9.0,50.0,8.0,46.0,1.03,0.575834
D.SE.1994.P4b_19940603.GU204937,26.0,280.0,35.0,280.0,0.74,0.912702
A1.KE.-.PP87B_A0102_gconB15s1.HQ424006,11.0,104.0,14.0,89.0,0.67,0.899223
A1.UG.-.PP103A_B0248_Econ_b16_37.JF294793,2.0,33.0,10.0,43.0,0.26,0.993387
C.BW.-.PP36A_A0516_Econ_b6_2.JF294783,5.0,37.0,10.0,41.0,0.55,0.935177
C.ZA.-.PP3A_A0811_esm18B4.JF294722,3.0,33.0,13.0,47.0,0.33,0.992333
A1.KE.-.PP83B_B0182_econB11.JF294634,3.0,30.0,6.0,46.0,0.77,0.773891
C.ZA.-.PP94A_B0728_Econ_B12_12.JF294621,4.0,35.0,12.0,45.0,0.43,0.978121
A1.UG.-.PP103A_B0248_Econ_b16_25.JF294356,2.0,34.0,10.0,43.0,0.25,0.994261
C.ZA.-.PP118A_A0091_C1.JF294312,3.0,35.0,9.0,46.0,0.44,0.958554
C.BW.-.PP36A_A0516_Econ_b6_6.JF294109,5.0,37.0,8.0,39.0,0.66,0.867704
A1.KE.-.SC11A_A0517_econB18s1.JF294107,2.0,33.0,11.0,49.0,0.27,0.992586
C.BW.-.PP36A_A0516_Econ_b6_16.JF293896,4.0,36.0,9.0,40.0,0.49,0.949439
C.ZA.-.PP3A_A0811_esm31B4.JF293860,4.0,33.0,11.0,44.0,0.48,0.958473
C.ZA.-.PP94A_B0728_Econ_B12_4.JF293762,4.0,28.0,8.0,39.0,0.70,0.835686
A1.UG.-.PP103A_B0248_Envcon_b16_9.JF293617,2.0,35.0,10.0,45.0,0.26,0.993626
B.SE.2003.SE_P87.27781.EU010355,1.0,26.0,2.0,28.0,0.54,0.867925
B.SE.2002.SE_P81.26365.EU010352,1.0,28.0,1.0,26.0,0.93,0.772886
B.SE.2000.SE_P71.24550.EU010339,3.0,25.0,6.0,29.0,0.58,0.889891
B.SE.1997.SE_P20.11521.EU010289,0.0,25.0,2.0,27.0,0.00,1
01_AE.SE.2002.SE_P84.26368.EU010270,3.0,27.0,9.0,27.0,0.33,0.99029
B.GL.2003.GRL103.AM285277,7.0,158.0,5.0,120.0,1.06,0.579969
B.GL.2004.GRL106.AM285188,3.0,48.0,4.0,50.0,0.78,0.764891
B.GL.2003.GRL103.AM285093,4.0,29.0,4.0,25.0,0.86,0.72987
B.GL.2000.GRL81.AM285086,4.0,26.0,3.0,25.0,1.28,0.522846
B.GL.2000.GRL65.AM285077,3.0,27.0,6.0,27.0,0.50,0.929234
B.GL.2000.GRL63.AM285076,3.0,27.0,4.0,26.0,0.72,0.805617
B.GL.1999.GRL26.AM285052,4.0,28.0,4.0,26.0,0.93,0.69004
B.GL.1999.GRL19.AM285046,3.0,26.0,2.0,25.0,1.44,0.519157
B.GL.1999.GRL13.AM285042,3.0,27.0,4.0,26.0,0.72,0.805617
01_AE.SE.-.C2_R5_ci.AY619929,3.0,28.0,8.0,25.0,0.33,0.988609
D.SE.-.M4_X4_ci.AY619766,3.0,23.0,7.0,27.0,0.50,0.934006
01_AE.VN.2002.02VN108.AY283415,2.0,27.0,7.0,25.0,0.26,0.991507
A6.LV.2001.01LV_N0765.AY290907,5.0,49.0,10.0,49.0,0.50,0.95503
A6.LV.2001.01LV_N0441.AY290899,6.0,49.0,9.0,49.0,0.67,0.869263
C.SE.2001.01SE_21090.AY165255,21.0,211.0,23.0,161.0,0.70,0.925149
B.SE.2000.00SE_19853.AY165238,9.0,210.0,12.0,167.0,0.60,0.92544
B.SE.2000.00SE_19467.AY165231,11.0,214.0,6.0,162.0,1.39,0.343662
C.SE.1999.99SE_17040.AY165209,17.0,179.0,14.0,122.0,0.83,0.773713
B.SE.1987.p11_113_1987.U68507,4.0,20.0,1.0,17.0,3.40,0.224523
B.SE.1986.p9_256_1986.U68506,3.0,19.0,3.0,19.0,1.00,0.67006
D.SE.-.SE6095.U76163,1.0,14.0,7.0,24.0,0.24,0.984961
D.SE.1993.SE6936G.L40755,8.0,33.0,3.0,37.0,2.99,0.0633983
B.SE.1987.4876-control.L39046,3.0,75.0,2.0,50.0,1.00,0.68541
B.SE.1987.408-control.L39050,0.0,34.0,1.0,42.0,0.00,1
B.SE.1987.3885PO-control.L39027,2.0,77.0,3.0,51.0,0.44,0.91839
B.SE.1987.153-control.L39036,3.0,75.0,3.0,52.0,0.69,0.813025
B.LV.2003.03LV_MSM022_2003_V3.EU702721,2.0,26.0,5.0,28.0,0.43,0.938005
B.LV.2002.02LV_HET067_1995_V3.EU702681,5.0,25.0,0.0,28.0,inf,0.0185142
A6.LV.2003.03LV_HET051_2003_V3.EU702665,4.0,25.0,5.0,29.0,0.93,0.684446
A6.LV.2003.03LV_HET039_2003_V3.EU702655,3.0,25.0,5.0,29.0,0.70,0.821409
A6.LV.2002.02LV_HET019_2002_V3.EU702635,3.0,25.0,5.0,28.0,0.67,0.835578
A6.LV.2003.03LV_VER002_2003_A1.EU702618,7.0,49.0,9.0,48.0,0.76,0.806461
A6.LV.1999.99LV_MSM038_1995_A1.EU702606,5.0,49.0,9.0,48.0,0.54,0.932275
B.LV.1998.98LV_MSM009_1998_B.EU702580,4.0,48.0,3.0,48.0,1.33,0.5
A6.LV.2002.02LV_IDU014_1998_A1.EU702566,5.0,49.0,10.0,49.0,0.50,0.95503
A6.LV.2005.05LV_S2152_2005_p17_A1.FJ429550,6.0,50.0,9.0,48.0,0.64,0.886767
B.LV.2005.05LV_MSM_S2126_2005_p17_B.FJ429540,4.0,49.0,4.0,47.0,0.96,0.66603
A6.LV.2005.05LV_IDU_S2023_2005_p17_A1.FJ429483,7.0,50.0,10.0,48.0,0.67,0.877071
A6.LV.2005.05LV_IDU_S2111_2005_v3_A1.FJ429452,4.0,23.0,6.0,27.0,0.78,0.780904
A6.LV.2005.05LV_S2055_2005_v3_A1.FJ429423,5.0,25.0,8.0,28.0,0.70,0.85168
A6.LV.2005.05LV_IDU_HET_S2038_2005_v3_A1.FJ429414,3.0,24.0,9.0,29.0,0.40,0.975971
B.SE.2000.P4a_20001128.GU204936,17.0,287.0,20.0,281.0,0.83,0.772209
01_AE.FI.2003.FIN032827.GU223051,3.0,26.0,7.0,27.0,0.45,0.956315
01_AE.SE.2007.P151_36492.GU222978,3.0,26.0,7.0,26.0,0.43,0.962434
B.SE.2006.P108_35753.GU222935,1.0,23.0,3.0,29.0,0.42,0.912269
B.SE.2005.P103_35738.GU222930,0.0,25.0,3.0,27.0,0.00,1
C.BW.-.PP69A_A0286_gconB13s1.HQ423964,11.0,100.0,13.0,93.0,0.79,0.800847
A1.KE.-.PP75B_B0362_ECX15B14.JF294691,8.0,47.0,6.0,43.0,1.22,0.457625
C.BW.-.PP106A_B0356_Envcon_b16_12.JF294674,4.0,30.0,7.0,37.0,0.70,0.827114
C.BW.-.PP106A_B0356_Envcon_b16_23.JF294638,3.0,28.0,8.0,39.0,0.52,0.922509
C.ZA.-.PP56A_A0735_econBr1s1.JF294351,7.0,44.0,12.0,43.0,0.57,0.947353
C.BW.-.PP106A_B0356_Envcon_b16_26.JF293799,3.0,29.0,8.0,39.0,0.50,0.930759
C.ZA.-.PP118A_A0091_B2.JF293495,5.0,38.0,10.0,46.0,0.61,0.905868
D.UG.2004.BM-023-0.KC329763,4.0,27.0,6.0,28.0,0.69,0.837467
A1.UG.2004.BM-002-0.KC329755,6.0,31.0,4.0,26.0,1.26,0.485761
A1.UG.2004.BM-024-0.KC329764,2.0,29.0,7.0,29.0,0.29,0.987371
01_AE.VN.2007.07_HN100.FJ009357,1.0,20.0,8.0,21.0,0.13,0.999161
01_AE.VN.2007.07_HN101.FJ009353,1.0,20.0,7.0,22.0,0.16,0.997291
01_AE.VN.2006.06_HN82.FJ009346,1.0,19.0,7.0,22.0,0.17,0.996653
01_AE.VN.2006.06_HN92.FJ009340,2.0,21.0,6.0,21.0,0.33,0.977587
01_AE.VN.2006.06_HN86.FJ009338,2.0,20.0,6.0,21.0,0.35,0.973531
01_AE.VN.2006.06_HP22.FJ009332,1.0,19.0,8.0,23.0,0.15,0.998167
B.GL.2000.GRL57.AM285254,10.0,160.0,10.0,118.0,0.74,0.827683
B.GL.1999.GRL41.AM285243,9.0,157.0,10.0,120.0,0.69,0.861587
B.GL.2003.GRL101.AM285183,2.0,43.0,3.0,42.0,0.65,0.827335
B.GL.2004.GRL97.AM285179,1.0,47.0,3.0,51.0,0.36,0.930819
B.GL.1999.GRL14.AM285134,2.0,44.0,3.0,41.0,0.62,0.84131
A6.LV.2001.01LV_N0738.AY291049,3.0,27.0,5.0,31.0,0.69,0.824018
